,Caption,tokenized,freqdist,tokens_WSW,normalized,tokens_stemmed,merged
15,ya simple karena kinerjanya tidak ada hasil logikanya,"['ya', 'simple', 'karena', 'kinerjanya', 'tidak', 'ada', 'hasil', 'logikanya']",<FreqDist with 8 samples and 8 outcomes>,"['simple', 'kinerjanya', 'hasil', 'logikanya']","['simple', 'kinerjanya', 'hasil', 'logikanya']","['simple', 'kerja', 'hasil', 'logika']",simple kerja hasil logika
16,pov memasuki kawasan full merah,"['pov', 'memasuki', 'kawasan', 'full', 'merah']",<FreqDist with 5 samples and 5 outcomes>,"['pov', 'memasuki', 'kawasan', 'full', 'merah']","['pov', 'memasuki', 'kawasan', 'full', 'merah']","['pov', 'pasuk', 'kawasan', 'full', 'merah']",pov pasuk kawasan full merah
17,insya allah pak anies presiden ini akun bayaran dan survei bayaran,"['insya', 'allah', 'pak', 'anies', 'presiden', 'ini', 'akun', 'bayaran', 'dan', 'survei', 'bayaran']",<FreqDist with 10 samples and 11 outcomes>,"['insya', 'allah', 'anies', 'presiden', 'akun', 'bayaran', 'survei', 'bayaran']","['insya', 'allah', 'anies', 'presiden', 'akun', 'bayaran', 'survei', 'bayaran']","['insya', 'allah', 'anies', 'presiden', 'akun', 'bayar', 'survei', 'bayar']",insya allah anies presiden akun bayar survei bayar
18,yuk survey kecilan bandingin sama survey halu yang pilih pemimpin cerdas anies baswedan senggol donk,"['yuk', 'survey', 'kecilan', 'bandingin', 'sama', 'survey', 'halu', 'yang', 'pilih', 'pemimpin', 'cerdas', 'anies', 'baswedan', 'senggol', 'donk']",<FreqDist with 14 samples and 15 outcomes>,"['yuk', 'survey', 'kecilan', 'bandingin', 'survey', 'halu', 'pilih', 'pemimpin', 'cerdas', 'anies', 'baswedan', 'senggol', 'donk']","['yuk', 'survey', 'kecilan', 'bandingin', 'survey', 'halu', 'pilih', 'pemimpin', 'cerdas', 'anies', 'baswedan', 'senggol', 'donk']","['yuk', 'survey', 'kecil', 'bandingin', 'survey', 'halu', 'pilih', 'pimpin', 'cerdas', 'anies', 'baswedan', 'senggol', 'donk']",yuk survey kecil bandingin survey halu pilih pimpin cerdas anies baswedan senggol donk
19,mari kita sama screenshot postingan ini dan kita repost nanti setelah pengumuman hasil pemilu barangkali benar kan surveinya litbang kompas survei tapi rasa rasa cenayang ya,"['mari', 'kita', 'sama', 'screenshot', 'postingan', 'ini', 'dan', 'kita', 'repost', 'nanti', 'setelah', 'pengumuman', 'hasil', 'pemilu', 'barangkali', 'benar', 'kan', 'surveinya', 'litbang', 'kompas', 'survei', 'tapi', 'rasa', 'rasa', 'cenayang', 'ya']",<FreqDist with 24 samples and 26 outcomes>,"['mari', 'screenshot', 'postingan', 'repost', 'pengumuman', 'hasil', 'pemilu', 'barangkali', 'surveinya', 'litbang', 'kompas', 'survei', 'cenayang']","['mari', 'screenshot', 'postingan', 'repost', 'pengumuman', 'hasil', 'pemilu', 'barangkali', 'surveinya', 'litbang', 'kompas', 'survei', 'cenayang']","['mari', 'screenshot', 'postingan', 'repost', 'umum', 'hasil', 'milu', 'barangkali', 'survei', 'litbang', 'kompas', 'survei', 'cenayang']",mari screenshot postingan repost umum hasil milu barangkali survei litbang kompas survei cenayang
20,kenapa ga kunjung naik krn anis gapunya lembaga survey udahlah jgn kalian pusing mau di pihak pro kontra intinya jgn munafik lah gausa sok naif bikin alasan ini itu dr jaman anis di pilgub pun survei litbang anis selalu ke kok tapi realita nya menang kan inget arteria dahlan keceplosan kl lembaga survey dibayar,"['kenapa', 'ga', 'kunjung', 'naik', 'krn', 'anis', 'gapunya', 'lembaga', 'survey', 'udahlah', 'jgn', 'kalian', 'pusing', 'mau', 'di', 'pihak', 'pro', 'kontra', 'intinya', 'jgn', 'munafik', 'lah', 'gausa', 'sok', 'naif', 'bikin', 'alasan', 'ini', 'itu', 'dr', 'jaman', 'anis', 'di', 'pilgub', 'pun', 'survei', 'litbang', 'anis', 'selalu', 'ke', 'kok', 'tapi', 'realita', 'nya', 'menang', 'kan', 'inget', 'arteria', 'dahlan', 'keceplosan', 'kl', 'lembaga', 'survey', 'dibayar']",<FreqDist with 48 samples and 54 outcomes>,"['kunjung', 'anis', 'gapunya', 'lembaga', 'survey', 'udahlah', 'pusing', 'pro', 'kontra', 'intinya', 'munafik', 'gausa', 'sok', 'naif', 'alasan', 'dr', 'jaman', 'anis', 'pilgub', 'survei', 'litbang', 'anis', 'realita', 'menang', 'inget', 'arteria', 'dahlan', 'keceplosan', 'kl', 'lembaga', 'survey', 'dibayar']","['kunjung', 'anies', 'gapunya', 'lembaga', 'survey', 'udahlah', 'pusing', 'pro', 'kontra', 'intinya', 'munafik', 'gausa', 'sok', 'naif', 'alasan', 'dari', 'jaman', 'anies', 'pilgub', 'survei', 'litbang', 'anies', 'realita', 'menang', 'inget', 'arteria', 'dahlan', 'keceplosan', 'kl', 'lembaga', 'survey', 'dibayar']","['kunjung', 'anies', 'gapunya', 'lembaga', 'survey', 'udahlah', 'pusing', 'pro', 'kontra', 'inti', 'munafik', 'gausa', 'sok', 'naif', 'alas', 'dari', 'jaman', 'anies', 'pilgub', 'survei', 'litbang', 'anies', 'realita', 'menang', 'inget', 'arteria', 'dahlan', 'ceplos', 'kl', 'lembaga', 'survey', 'bayar']",kunjung anies gapunya lembaga survey udahlah pusing pro kontra inti munafik gausa sok naif alas dari jaman anies pilgub survei litbang anies realita menang inget arteria dahlan ceplos kl lembaga survey bayar
21,karna ini pilpres yg jadi pemilih seluruh warga indonesia bukan pigub yv milih seiman,"['karna', 'ini', 'pilpres', 'yg', 'jadi', 'pemilih', 'seluruh', 'warga', 'indonesia', 'bukan', 'pigub', 'yv', 'milih', 'seiman']",<FreqDist with 14 samples and 14 outcomes>,"['karna', 'pilpres', 'pemilih', 'warga', 'indonesia', 'pigub', 'yv', 'milih', 'seiman']","['karna', 'pilpres', 'pemilih', 'warga', 'indonesia', 'pigub', 'yv', 'milih', 'seiman']","['karna', 'pilpres', 'pilih', 'warga', 'indonesia', 'pigub', 'yv', 'milih', 'iman']",karna pilpres pilih warga indonesia pigub yv milih iman
22,imho sebenernya takut proyekvisi jangka panjang jokowi nya jadi gk lanjut aja karna anies merupakan antitesis nya jokowi bagus atau tidaknya proyekvisi jangka panjang jokowi masih debatable tp kalo tiap ganti presiden ganti haluan ya gabakal ada realisasi visi jangka panjang indonesia,"['imho', 'sebenernya', 'takut', 'proyekvisi', 'jangka', 'panjang', 'jokowi', 'nya', 'jadi', 'gk', 'lanjut', 'aja', 'karna', 'anies', 'merupakan', 'antitesis', 'nya', 'jokowi', 'bagus', 'atau', 'tidaknya', 'proyekvisi', 'jangka', 'panjang', 'jokowi', 'masih', 'debatable', 'tp', 'kalo', 'tiap', 'ganti', 'presiden', 'ganti', 'haluan', 'ya', 'gabakal', 'ada', 'realisasi', 'visi', 'jangka', 'panjang', 'indonesia']",<FreqDist with 33 samples and 42 outcomes>,"['imho', 'sebenernya', 'takut', 'proyekvisi', 'jangka', 'jokowi', 'gk', 'karna', 'anies', 'antitesis', 'jokowi', 'bagus', 'tidaknya', 'proyekvisi', 'jangka', 'jokowi', 'debatable', 'tp', 'ganti', 'presiden', 'ganti', 'haluan', 'gabakal', 'realisasi', 'visi', 'jangka', 'indonesia']","['imho', 'sebenernya', 'takut', 'proyekvisi', 'jangka', 'jokowi', 'gk', 'karna', 'anies', 'antitesis', 'jokowi', 'bagus', 'tidaknya', 'proyekvisi', 'jangka', 'jokowi', 'debatable', 'tetapi', 'ganti', 'presiden', 'ganti', 'haluan', 'gabakal', 'realisasi', 'visi', 'jangka', 'indonesia']","['imho', 'sebenernya', 'takut', 'proyekvisi', 'jangka', 'jokowi', 'gk', 'karna', 'anies', 'antitesis', 'jokowi', 'bagus', 'tidak', 'proyekvisi', 'jangka', 'jokowi', 'debatable', 'tetapi', 'ganti', 'presiden', 'ganti', 'haluan', 'gabakal', 'realisasi', 'visi', 'jangka', 'indonesia']",imho sebenernya takut proyekvisi jangka jokowi gk karna anies antitesis jokowi bagus tidak proyekvisi jangka jokowi debatable tetapi ganti presiden ganti haluan gabakal realisasi visi jangka indonesia
23,emang calon yg lain udh bawa konsep apa ga kedengeran,"['emang', 'calon', 'yg', 'lain', 'udh', 'bawa', 'konsep', 'apa', 'ga', 'kedengeran']",<FreqDist with 10 samples and 10 outcomes>,"['emang', 'calon', 'udh', 'bawa', 'konsep', 'kedengeran']","['emang', 'calon', 'udh', 'bawa', 'konsep', 'kedengeran']","['emang', 'calon', 'udh', 'bawa', 'konsep', 'kedengeran']",emang calon udh bawa konsep kedengeran
24,survenya dari mana kok bisa ganjar yg dominasi serius nanya,"['survenya', 'dari', 'mana', 'kok', 'bisa', 'ganjar', 'yg', 'dominasi', 'serius', 'nanya']",<FreqDist with 10 samples and 10 outcomes>,"['survenya', 'ganjar', 'dominasi', 'serius', 'nanya']","['survenya', 'ganjar', 'dominasi', 'serius', 'nanya']","['survenya', 'ganjar', 'dominasi', 'serius', 'nanya']",survenya ganjar dominasi serius nanya
25,tak kunjung naik karna tidak naik,"['tak', 'kunjung', 'naik', 'karna', 'tidak', 'naik']",<FreqDist with 5 samples and 6 outcomes>,"['kunjung', 'karna']","['kunjung', 'karna']","['kunjung', 'karna']",kunjung karna
26,google trends lebih akurat datanyadari pada lembaga survei yang di sewa,"['google', 'trends', 'lebih', 'akurat', 'datanyadari', 'pada', 'lembaga', 'survei', 'yang', 'di', 'sewa']",<FreqDist with 11 samples and 11 outcomes>,"['google', 'trends', 'akurat', 'datanyadari', 'lembaga', 'survei', 'sewa']","['google', 'trends', 'akurat', 'datanyadari', 'lembaga', 'survei', 'sewa']","['google', 'trends', 'akurat', 'datanyadari', 'lembaga', 'survei', 'sewa']",google trends akurat datanyadari lembaga survei sewa
27,males denger teori sukanya praktek,"['males', 'denger', 'teori', 'sukanya', 'praktek']",<FreqDist with 5 samples and 5 outcomes>,"['males', 'denger', 'teori', 'sukanya', 'praktek']","['males', 'denger', 'teori', 'sukanya', 'praktek']","['males', 'denger', 'teori', 'suka', 'praktek']",males denger teori suka praktek
28,kasihan bangsa ini bukan program strategis apa yang mau ditawarkan tapi malah diskusikan hasil survei,"['kasihan', 'bangsa', 'ini', 'bukan', 'program', 'strategis', 'apa', 'yang', 'mau', 'ditawarkan', 'tapi', 'malah', 'diskusikan', 'hasil', 'survei']",<FreqDist with 15 samples and 15 outcomes>,"['kasihan', 'bangsa', 'program', 'strategis', 'ditawarkan', 'diskusikan', 'hasil', 'survei']","['kasihan', 'bangsa', 'program', 'strategis', 'ditawarkan', 'diskusikan', 'hasil', 'survei']","['kasihan', 'bangsa', 'program', 'strategis', 'tawar', 'diskusi', 'hasil', 'survei']",kasihan bangsa program strategis tawar diskusi hasil survei
29,pendukung anies org cerdas jd td percaya dg survey sewaan,"['pendukung', 'anies', 'org', 'cerdas', 'jd', 'td', 'percaya', 'dg', 'survey', 'sewaan']",<FreqDist with 10 samples and 10 outcomes>,"['pendukung', 'anies', 'org', 'cerdas', 'td', 'percaya', 'survey', 'sewaan']","['pendukung', 'anies', 'org', 'cerdas', 'td', 'percaya', 'survey', 'sewaan']","['dukung', 'anies', 'org', 'cerdas', 'td', 'percaya', 'survey', 'sewa']",dukung anies org cerdas td percaya survey sewa
30,ohhhhhh saya salah masuk ternyata saya masuk ke kandang banteng,"['ohhhhhh', 'saya', 'salah', 'masuk', 'ternyata', 'saya', 'masuk', 'ke', 'kandang', 'banteng']",<FreqDist with 8 samples and 10 outcomes>,"['ohhhhhh', 'salah', 'masuk', 'masuk', 'kandang', 'banteng']","['ohhhhhh', 'salah', 'masuk', 'masuk', 'kandang', 'banteng']","['ohhhhhh', 'salah', 'masuk', 'masuk', 'kandang', 'banteng']",ohhhhhh salah masuk masuk kandang banteng
31,posisi tp masih dijegal trus ya pak aniesapa sebaliknya ya posisi itu posisi,"['posisi', 'tp', 'masih', 'dijegal', 'trus', 'ya', 'pak', 'aniesapa', 'sebaliknya', 'ya', 'posisi', 'itu', 'posisi']",<FreqDist with 10 samples and 13 outcomes>,"['posisi', 'tp', 'dijegal', 'trus', 'aniesapa', 'posisi', 'posisi']","['posisi', 'tetapi', 'dijegal', 'trus', 'aniesapa', 'posisi', 'posisi']","['posisi', 'tetapi', 'jegal', 'trus', 'aniesapa', 'posisi', 'posisi']",posisi tetapi jegal trus aniesapa posisi posisi
32,dibayar brp lu,"['dibayar', 'brp', 'lu']",<FreqDist with 3 samples and 3 outcomes>,"['dibayar', 'brp', 'lu']","['dibayar', 'brp', 'kamu']","['bayar', 'brp', 'kamu']",bayar brp kamu
33,karena inilah indonesia yang sesungguhnya bukan spti jakarta yang mungkin bisa dimobilisasi,"['karena', 'inilah', 'indonesia', 'yang', 'sesungguhnya', 'bukan', 'spti', 'jakarta', 'yang', 'mungkin', 'bisa', 'dimobilisasi']",<FreqDist with 11 samples and 12 outcomes>,"['indonesia', 'sesungguhnya', 'spti', 'jakarta', 'dimobilisasi']","['indonesia', 'sesungguhnya', 'spti', 'jakarta', 'dimobilisasi']","['indonesia', 'sungguh', 'spti', 'jakarta', 'mobilisasi']",indonesia sungguh spti jakarta mobilisasi
34,bukan gak naik tapi emang itu udah full kapasitasnya yah segitu ajah,"['bukan', 'gak', 'naik', 'tapi', 'emang', 'itu', 'udah', 'full', 'kapasitasnya', 'yah', 'segitu', 'ajah']",<FreqDist with 12 samples and 12 outcomes>,"['emang', 'udah', 'full', 'kapasitasnya', 'segitu', 'ajah']","['emang', 'udah', 'full', 'kapasitasnya', 'segitu', 'ajah']","['emang', 'udah', 'full', 'kapasitas', 'segitu', 'ajah']",emang udah full kapasitas segitu ajah
35,kenapa karena doi gapunya lembaga survey,"['kenapa', 'karena', 'doi', 'gapunya', 'lembaga', 'survey']",<FreqDist with 6 samples and 6 outcomes>,"['doi', 'gapunya', 'lembaga', 'survey']","['dia', 'gapunya', 'lembaga', 'survey']","['dia', 'gapunya', 'lembaga', 'survey']",dia gapunya lembaga survey
36,anies kesono kemarih cuma bisa ngeritik doang bro tapi ngga ada dagangan yang bisa di jual apalagi di terima calon konsumen nya cuma bisa merangkai kata kata doang udah gitu di usung nasdem yang lagi pajiret benang kusut kader nya terindikasi korup balik kanan teratur aja wan anies,"['anies', 'kesono', 'kemarih', 'cuma', 'bisa', 'ngeritik', 'doang', 'bro', 'tapi', 'ngga', 'ada', 'dagangan', 'yang', 'bisa', 'di', 'jual', 'apalagi', 'di', 'terima', 'calon', 'konsumen', 'nya', 'cuma', 'bisa', 'merangkai', 'kata', 'kata', 'doang', 'udah', 'gitu', 'di', 'usung', 'nasdem', 'yang', 'lagi', 'pajiret', 'benang', 'kusut', 'kader', 'nya', 'terindikasi', 'korup', 'balik', 'kanan', 'teratur', 'aja', 'wan', 'anies']",<FreqDist with 38 samples and 48 outcomes>,"['anies', 'kesono', 'kemarih', 'ngeritik', 'doang', 'bro', 'ngga', 'dagangan', 'jual', 'terima', 'calon', 'konsumen', 'merangkai', 'doang', 'udah', 'gitu', 'usung', 'nasdem', 'pajiret', 'benang', 'kusut', 'kader', 'terindikasi', 'korup', 'kanan', 'teratur', 'wan', 'anies']","['anies', 'kesono', 'kemarih', 'ngeritik', 'doang', 'bro', 'ngga', 'dagangan', 'jual', 'terima', 'calon', 'konsumen', 'merangkai', 'doang', 'udah', 'gitu', 'usung', 'nasdem', 'pajiret', 'benang', 'kusut', 'kader', 'terindikasi', 'korup', 'kanan', 'teratur', 'wan', 'anies']","['anies', 'sono', 'kemarih', 'ngeritik', 'doang', 'bro', 'ngga', 'dagang', 'jual', 'terima', 'calon', 'konsumen', 'rangkai', 'doang', 'udah', 'gitu', 'usung', 'nasdem', 'pajiret', 'benang', 'kusut', 'kader', 'indikasi', 'korup', 'kanan', 'atur', 'wan', 'anies']",anies sono kemarih ngeritik doang bro ngga dagang jual terima calon konsumen rangkai doang udah gitu usung nasdem pajiret benang kusut kader indikasi korup kanan atur wan anies
37,pake nanya,"['pake', 'nanya']",<FreqDist with 2 samples and 2 outcomes>,"['pake', 'nanya']","['pake', 'nanya']","['pake', 'nanya']",pake nanya
38,ditengah masyarakat yg gak begitu suka baca dan lebih tertarik dengan hal visual ganjar dan prabowo lebih ahlinya sedikit membicarakan data jaranga mengkritiki tapi lebih sering tampil di media mau beritanya buruk atau baik atau biasa aja jumlah mereka muncul di media nasional lebih banyak dari anies,"['ditengah', 'masyarakat', 'yg', 'gak', 'begitu', 'suka', 'baca', 'dan', 'lebih', 'tertarik', 'dengan', 'hal', 'visual', 'ganjar', 'dan', 'prabowo', 'lebih', 'ahlinya', 'sedikit', 'membicarakan', 'data', 'jaranga', 'mengkritiki', 'tapi', 'lebih', 'sering', 'tampil', 'di', 'media', 'mau', 'beritanya', 'buruk', 'atau', 'baik', 'atau', 'biasa', 'aja', 'jumlah', 'mereka', 'muncul', 'di', 'media', 'nasional', 'lebih', 'banyak', 'dari', 'anies']",<FreqDist with 40 samples and 47 outcomes>,"['ditengah', 'masyarakat', 'suka', 'baca', 'tertarik', 'visual', 'ganjar', 'prabowo', 'ahlinya', 'membicarakan', 'data', 'jaranga', 'mengkritiki', 'tampil', 'media', 'beritanya', 'buruk', 'muncul', 'media', 'nasional', 'anies']","['ditengah', 'masyarakat', 'suka', 'baca', 'tertarik', 'visual', 'ganjar', 'prabowo', 'ahlinya', 'membicarakan', 'data', 'jaranga', 'mengkritiki', 'tampil', 'media', 'beritanya', 'buruk', 'muncul', 'media', 'nasional', 'anies']","['tengah', 'masyarakat', 'suka', 'baca', 'tarik', 'visual', 'ganjar', 'prabowo', 'ahli', 'bicara', 'data', 'jaranga', 'kritik', 'tampil', 'media', 'berita', 'buruk', 'muncul', 'media', 'nasional', 'anies']",tengah masyarakat suka baca tarik visual ganjar prabowo ahli bicara data jaranga kritik tampil media berita buruk muncul media nasional anies
39,percaya saja biar senengheee,"['percaya', 'saja', 'biar', 'senengheee']",<FreqDist with 4 samples and 4 outcomes>,"['percaya', 'senengheee']","['percaya', 'senengheee']","['percaya', 'senengheee']",percaya senengheee
